,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
90,Stal Mielec,Warta Poznań,H,2,1,62,38,23,6,8,1,10,3,5.0,2.0,25,11,8,4,2.0,2.0,,,0,6,9.0,25.0,,,0,3,,,,,,,86,46,57,25,1.535,6.38,4.025,2019-07-26
89,Zagłębie Sosnowiec,Podbeskidzie B-B,D,1,1,43,57,14,19,1,8,8,5,5.0,6.0,16,10,4,11,1.0,1.0,,,7,0,9.0,15.0,,,1,2,,,,,,,59,83,31,53,2.325,3.11,3.26,2019-07-27
88,Stal Mielec,Wigry Suwałki,D,1,1,65,35,27,7,10,1,12,4,5.0,2.0,15,7,11,4,3.0,1.0,,,0,9,4.0,15.0,,,2,4,,,,,,,122,49,70,27,1.36,8.780000000000001,4.8,2019-08-02
87,Warta Poznań,GKS Bełchatów,H,1,0,58,42,14,10,5,2,8,7,1.0,1.0,23,16,3,2,0.0,3.0,,,2,4,16.0,20.0,1.0,0.0,2,1,,,,,,,112,66,63,36,2.525,2.825,3.225,2019-08-03
86,Chojniczanka,Podbeskidzie B-B,A,0,1,48,52,6,15,2,6,2,5,2.0,4.0,25,26,9,5,1.0,3.0,,,5,2,23.0,22.0,1.0,0.0,4,3,,,,,,,76,104,78,70,2.73,2.71,3.125,2019-08-04
85,Podbeskidzie B-B,Stal Mielec,H,4,1,54,46,14,7,7,1,3,3,4.0,3.0,11,27,7,3,1.0,1.0,,,0,3,26.0,10.0,,,3,2,,,,,,,85,56,44,29,2.825,2.555,3.1500000000000004,2019-08-11
84,Wigry Suwałki,Warta Poznań,A,1,2,57,43,7,12,2,5,2,4,3.0,3.0,21,16,3,3,0.0,4.0,,,3,1,16.0,17.0,,,3,4,,,,,,,123,111,66,53,2.625,2.8,3.075,2019-08-11
83,Stal Mielec,Olimpia Grudziądz,H,2,0,52,48,12,17,6,8,6,6,0.0,3.0,19,15,8,7,3.0,2.0,,,8,4,12.0,17.0,,,2,3,,,,,,,94,80,58,48,1.5,6.175000000000002,4.275,2019-08-16
82,Radomiak Radom,Warta Poznań,A,0,2,58,42,24,8,4,3,12,4,8.0,1.0,23,15,7,2,1.0,2.0,,,1,4,14.0,21.0,,,0,1,,,,,,,101,67,67,41,2.0,3.575,3.555,2019-08-17
81,Wigry Suwałki,Podbeskidzie B-B,H,1,0,34,66,9,16,4,6,5,6,0.0,4.0,15,9,4,4,0.0,4.0,,,6,3,9.0,11.0,,,1,3,,,,,,,68,148,37,75,3.725,1.975,3.46,2019-08-17
