,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
239,Zagłębie Lubin,Lech Poznań,H,2,1,1,46,54,9,24,4,8,5,16,,,,,7,11,0,1,,,7,2,15,10,,,1.0,2.0,,,363.0,378.0,,,94.0,105.0,72.0,99.0,3.53,2.185,3.45,2020-08-21
198,Cracovia,Pogoń Szczecin,H,2,1,1,50,50,16,10,4,4,12,6,,,,,8,4,0,2,,,3,2,8,11,,,3.0,3.0,,,285.0,328.0,,,77.0,79.0,60.0,67.0,2.125,3.63,3.46,2020-08-22
197,Śląsk Wrocław,Piast Gliwice,H,2,0,1,38,62,12,11,6,2,6,9,,,,,5,7,2,0,,,2,4,19,16,,,0.0,2.0,,,253.0,546.0,,,85.0,90.0,60.0,65.0,2.76,2.75,3.2750000000000004,2020-08-22
196,Raków Częstochowa,Legia Warszawa,A,1,2,1,45,55,10,14,2,4,8,10,,,,,5,3,0,1,,,2,1,10,23,1.0,0.0,4.0,4.0,,,290.0,434.0,,,84.0,124.0,49.0,61.0,4.12,1.95,3.685,2020-08-22
195,Wisła Płock,Stal Mielec,D,1,1,1,65,35,8,14,1,7,7,7,,,,,7,3,0,1,,,6,0,15,8,,,2.0,1.0,,,572.0,294.0,,,119.0,90.0,78.0,42.0,2.2,3.4400000000000004,3.455,2020-08-23
194,Warta Poznań,Lechia Gdańsk,A,0,1,1,50,50,10,4,4,1,6,3,,,,,4,5,1,4,,,0,4,16,21,1.0,0.0,5.0,3.0,,,352.0,353.0,,,95.0,87.0,68.0,49.0,3.64,2.125,3.51,2020-08-23
193,Górnik Zabrze,Podbeskidzie B-B,H,4,2,1,55,45,14,9,6,5,8,4,,,,,4,3,2,3,,,3,2,9,10,,,1.0,3.0,,,373.0,316.0,,,124.0,82.0,90.0,57.0,2.0,3.81,3.655,2020-08-23
192,Jagiellonia Białystok,Wisła Kraków,D,1,1,1,56,44,20,12,2,5,18,7,,,,,4,2,2,2,,,4,1,11,17,,,3.0,3.0,,,438.0,305.0,,,120.0,91.0,78.0,55.0,2.35,3.17,3.45,2020-08-24
191,Stal Mielec,Górnik Zabrze,A,0,2,2,38,62,7,16,2,8,5,8,,,,,4,5,1,2,,,6,2,10,12,,,2.0,2.0,,,315.0,531.0,,,78.0,146.0,59.0,111.0,2.815,2.55,3.5,2020-08-28
238,Zagłębie Lubin,Warta Poznań,H,1,0,2,57,43,19,3,5,0,14,3,,,,,8,1,1,2,,,0,4,14,10,,,3.0,1.0,,,400.0,269.0,,,112.0,102.0,89.0,61.0,1.8,4.705,3.775,2020-08-28
189,Wisła Kraków,Śląsk Wrocław,A,1,3,2,56,44,9,14,3,5,6,9,,,,,13,2,1,0,,,2,2,9,17,,,1.0,2.0,,,390.0,276.0,,,93.0,90.0,73.0,63.0,2.71,2.78,3.2750000000000004,2020-08-29
188,Legia Warszawa,Jagiellonia Białystok,A,1,2,2,66,34,26,6,9,2,17,4,,,,,13,3,1,2,,,0,8,9,17,,,0.0,2.0,,,526.0,234.0,,,127.0,82.0,106.0,27.0,1.55,6.355,4.3,2020-08-29
190,Lechia Gdańsk,Raków Częstochowa,A,1,3,2,43,57,6,17,2,7,4,10,,,,,2,5,1,0,,,4,1,17,8,1.0,0.0,5.0,1.0,,,325.0,466.0,,,79.0,82.0,55.0,82.0,2.76,2.65,3.375,2020-08-29
187,Piast Gliwice,Pogoń Szczecin,A,0,1,2,50,50,13,8,4,1,9,7,,,,,8,3,4,0,,,0,4,17,13,,,3.0,3.0,,,379.0,377.0,,,86.0,90.0,67.0,55.0,2.075,3.935000000000001,3.365,2020-08-30
